substep,timestep,subset,funding_pool,collateral_pool,sentiment,token_supply,run,token_price,simulation
2,106,0,16921129.928789772,17291003.391492125,0.6247257329214964,368100910.7198484,1,0.09394708292179065,6
2,107,0,16987716.30558152,17084097.386133514,0.6198699636907272,365891915.0276937,1,0.09338330082992105,6
2,108,0,16595618.856221888,16786752.40445349,0.6185029881795819,362693803.92722195,1,0.0925670757133856,6
2,109,0,16701994.004805472,16412387.37109941,0.613647218948813,358626744.09369457,1,0.09152907663133747,6
2,110,0,16782232.451546058,16134250.86234583,0.6087914497180434,355574981.87930954,1,0.09075020282401179,6
2,111,0,16895365.162571058,15723964.661804486,0.6039356804872742,351024818.53234464,1,0.08958890557965278,6
2,112,0,16726065.86160545,15242815.940771444,0.5802655362363806,345612464.33467305,1,0.08820755912327918,6
2,113,0,16827625.168332595,14894320.70125661,0.575361690082534,341638765.8387703,1,0.08719338781527909,6
2,114,0,16968994.14424708,14357320.450806886,0.5485374019699636,335423503.5115943,1,0.08560712234234122,6
2,115,0,16762050.195925357,13707615.191503968,0.5005760185876009,327746261.11988354,1,0.08364772885381583,6
2,116,0,16902793.955372788,13166809.34035372,0.4755548277339479,321215924.3553227,1,0.08198104976756294,6
2,117,0,17001691.000854116,12781928.897518283,0.47049692363822293,316486356.49483544,1,0.08077396472366963,6
2,118,0,16738249.304980852,12067868.204857614,0.47054594324606575,307519084.5988319,1,0.07848532861367301,6
2,119,0,16826765.35531567,11730597.927217944,0.46569300206959524,303191393.17407566,1,0.07738081087600587,6
2,120,0,16909190.400034234,11416691.54172795,0.4608400608931248,299107241.5263285,1,0.0763384496040228,6
2,121,0,17058725.074589744,10822646.74674488,0.4559871197166541,291221567.78829265,1,0.07432586005863787,6
2,122,0,17146278.283779506,10478898.149847688,0.45113417854018356,286559363.30540454,1,0.07313596756340962,6
2,123,0,17288417.05655209,9922172.793146111,0.44628123736371295,278843282.7416529,1,0.07116666175773695,6
2,124,0,17376607.00646974,9583437.67747522,0.44142829618724244,274042206.33915865,1,0.06994132623216891,6
2,125,0,17467595.25990816,9225094.412700186,0.4365753550107718,268869911.19305074,1,0.06862124788724681,6
2,126,0,17550312.059452396,8902262.253062373,0.4317224138343012,264123464.93930447,1,0.06740985512292981,6
2,127,0,17677446.03665221,8407723.207257427,0.4268694726578306,256682344.14370748,1,0.06551072482453438,6
2,128,0,17776584.325423025,8026122.949107646,0.4220575294928163,250789701.23247153,1,0.06400679860189129,6
2,129,0,17890573.839753337,7574874.6403873805,0.4172536079241887,243637715.6563301,1,0.062181461683644496,6
2,130,0,17935150.71997062,7402951.808876328,0.4124496863555614,240856990.2345419,1,0.06147176215784708,6
2,131,0,17798911.006337516,7039851.613708026,0.4125477255712476,234875948.2863783,1,0.05994527464450735,6
2,132,0,17868700.01996828,6763047.309602381,0.4077438040026201,230212025.87798807,1,0.05875494369861272,6
2,133,0,17965261.412250802,6381817.158653032,0.4029398824339926,223629438.12474298,1,0.05707492906272191,6
