timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
214,1,14006852.440717274,356606924.6187606,12259905.903421817,12,0.521669987823342,2,0,0.06875865305492075
215,1,14093293.10518929,352997098.17522013,12012955.361441124,12,0.5168889659255315,2,0,0.06806262954308
216,1,14189786.659732569,348550429.80805904,11712209.657454899,12,0.5121079440277216,2,0,0.06720525155516015
217,1,14021720.7931126,342265126.6740413,11293612.832630692,12,0.4918367853890776,2,0,0.0659933598399363
218,1,13728507.504986241,340652490.7319463,11187440.2835813,12,0.48998368911213047,2,0,0.06568242175211048
219,1,13827708.346849259,335501316.678242,10851656.811735434,12,0.4620293615839762,2,0,0.06468920550998951
220,1,13933673.42818069,329864236.98001933,10490062.090962911,12,0.45715076977417973,2,0,0.06360230006745667
221,1,13977044.792855822,327971630.74313784,10370033.306259621,12,0.45252114014454997,2,0,0.06323737990851572
222,1,14065520.099669568,323519621.5580236,10090410.72970283,12,0.44792408157037716,2,0,0.06237897213843708
223,1,13670772.262844538,319444037.75331926,9837781.354730435,12,0.44703519268148845,2,0,0.06159314428856146
224,1,13717623.475040933,316913558.0266996,9682538.476030722,12,0.4265219357057684,2,0,0.061105233466944193
225,1,13832466.341083398,309975379.8816965,9263220.34084441,12,0.4215024948586569,2,0,0.059767458592226
226,1,13421877.191066682,309080550.5138788,9209815.85845703,12,0.4934468388355477,2,0,0.059594923350205935
227,1,13151155.948522093,305054443.60817564,8971443.035316164,12,0.4755862075532206,2,0,0.05881863531769726
228,1,13219783.906031743,301275478.4549182,8750546.206642257,12,0.4710344724183291,2,0,0.05808999956796456
229,1,13271882.108102633,298632599.5360918,8597694.754355574,12,0.46648560023787783,2,0,0.057580416657200775
230,1,13233015.863811508,296681883.39043343,8485738.562012885,12,0.46569612655366743,2,0,0.05720429211948645
231,1,13279532.503059123,294175964.25018376,8342994.6304863375,12,0.462713737586948,2,0,0.056721116912128056
232,1,13346017.263645042,290602263.7193686,8141521.588242292,12,0.4581940906210318,2,0,0.056032058966371104
233,1,13370381.778651822,289550796.2481099,8082712.286673557,12,0.45525496230508833,2,0,0.05582932177294138
234,1,13079191.119428119,286225334.2502574,7898120.132205838,12,0.4536161244869749,2,0,0.055188127584123774
235,1,13126930.254379936,283619759.21086115,7754977.832205991,12,0.45116826242723895,2,0,0.054685737367405646
236,1,13181627.856709937,280002396.5407046,7558421.200168648,12,0.42784197498197285,2,0,0.053988260768831405
237,1,13242502.115142861,275976204.3325078,7342616.860851337,12,0.42339344557020847,2,0,0.05321195628884468
238,1,12914793.689764228,273883806.6665623,7231698.368949069,12,0.42258462204079644,2,0,0.052808513631864645
239,1,12973992.842396345,269849839.0434199,7020239.352174036,12,0.41811830059247584,2,0,0.052030709946389496
240,1,13037115.729506819,265374228.58749747,6789301.295562141,12,0.39847429119816785,2,0,0.05116775153110707
241,1,11921777.10009286,259134981.93138218,6473806.015352621,12,0.39718774716813415,2,0,0.04996474012965842
242,1,11978001.21988479,254937296.80345377,6265768.5103419665,12,0.39290548338487186,2,0,0.049155369488150004
243,1,12023874.026138013,251689642.34469214,6107145.682811801,12,0.3886407775025187,2,0,0.048529177648462686
244,1,12062498.32483371,248695870.99655294,5962724.483103808,12,0.38440679871964095,2,0,0.04795193791686598
245,1,12114214.908775166,244577084.3604835,5766856.165597168,12,0.3801788575431705,2,0,0.04715777997498218
246,1,11888888.608298793,239706128.61357298,5539440.0737932185,12,0.3795906222490525,2,0,0.046218593624056024
247,1,11551767.324457422,235758378.55638847,5358483.091909297,12,0.3781910763216676,2,0,0.04545741385498764
248,1,11584276.060514174,233098816.61485443,5238268.195241657,12,0.3740058911364826,2,0,0.04494461423111184
249,1,11618518.100927565,230252999.73311427,5111144.820402735,12,0.3698207059512973,2,0,0.04439590212789455
250,1,11661050.194883531,227161666.35140336,4974823.582343952,12,0.42357744063841984,2,0,0.043799851112627824
251,1,11673593.453636404,228952011.90241763,5053549.467166811,12,0.49085754704690737,2,0,0.044145054023990854
252,1,10634106.480479935,230193926.74445423,5108522.558202627,12,0.5640706957142975,2,0,0.04438451205425384
253,1,10660781.344071617,230274065.8397169,5112080.111993166,12,0.5593299549735565,2,0,0.044399963959045635
254,1,10677520.055947676,231712929.16739306,5176165.185515704,12,0.5545892142328158,2,0,0.044677396329286065
255,1,10694795.09516697,233180735.97990212,5241950.676466725,12,0.5498484734920751,2,0,0.0449604093960706
256,1,10043494.650460077,234797020.61874202,5314871.346299896,12,0.5271987481158469,2,0,0.045272051002129714
257,1,10058799.047455598,235355737.2026213,5340195.686729452,12,0.5034392868992148,2,0,0.04537977913945643
258,1,10082443.943016766,235953026.38822332,5367334.931595838,12,0.4987715682692868,2,0,0.0454949445976992
259,1,9869838.118956279,236076790.04567587,5372967.029040251,12,0.5007157027029681,2,0,0.04551880790992368
260,1,9891179.552841207,236288338.88419938,5382600.7944687735,12,0.4960833497617916,2,0,0.04555959739601613
261,1,9743821.50361557,233906633.67844975,5274638.13355542,12,0.4476216889299866,2,0,0.045100372320405736
262,1,9764265.791859822,233080467.02816692,5237443.512607557,12,0.4430996301064576,2,0,0.04494107618185466
263,1,9782114.656540213,232648951.66319287,5218068.699190901,12,0.43858371430494525,2,0,0.04485787416523696
264,1,9814237.326884616,231133735.82182828,5150320.675959602,12,0.43552800482652215,2,0,0.04456571999450377
265,1,9839529.530969981,229761777.90224087,5089359.846925732,12,0.4310389537316317,2,0,0.044301187894630195
266,1,9787781.959190845,227280257.49067947,4980019.212438865,12,0.4271036569043637,2,0,0.043822717093173744
267,1,9813089.91577894,226124742.27526584,4929510.119880005,12,0.4226875985102033,2,0,0.04359991808308372
268,1,9565072.512793541,224924421.80104706,4877315.145458695,12,0.4219211751525392,2,0,0.043368480011235395
269,1,9610868.895622699,221502910.60991916,4730058.014792414,12,0.40087823853831794,2,0,0.04270876623488122
270,1,9517392.126262201,218008970.35349283,4582013.03437566,12,0.3995663492265104,2,0,0.042035087152112224
271,1,9536850.718313485,216809237.85510167,4531720.9381279815,12,0.39530708996725084,2,0,0.041803762449980374
272,1,9549857.981089357,217165109.6022692,4546609.9255174305,12,0.45193608725429935,2,0,0.04187237935084875
273,1,9581939.470953163,214839353.02295047,4449746.441892075,12,0.44738053169874414,2,0,0.04142394192945392
274,1,9604730.040471755,213473142.28562036,4393332.553970356,12,0.4212476547929216,2,0,0.041160517964289996
275,1,9633771.683472617,211687675.495317,4320149.150454012,12,0.416840247385514,2,0,0.040816255744180845
276,1,9642637.950835774,212533521.1745838,4354742.378725891,12,0.47324159489665013,2,0,0.040979346266500016
277,1,9657433.833317954,214271996.77513057,4426275.34230858,12,0.5229194534312813,2,0,0.0413145479477075
278,1,9671127.577329352,214573307.52382103,4438732.612277687,12,0.5182503357842226,2,0,0.04137264474785538
279,1,9099648.175767345,215854219.64711666,4491885.512575362,12,0.49713524852367,2,0,0.04161962198301055
280,1,9115468.36469057,217681976.5290755,4568278.128759647,12,0.4925396602883757,2,0,0.04197203830652896
281,1,8989395.233643673,216777410.90331072,4530390.549451525,12,0.4903875922320924,2,0,0.041797625781887546
282,1,9004715.930260152,217180958.11828196,4547273.564807083,12,0.4608405810622968,2,0,0.04187543515974848
283,1,8819005.296497809,217480951.50662923,4559844.594717234,12,0.43614151346957886,2,0,0.04193327795494993
284,1,8454545.902705196,218548645.60965067,4604726.40921818,12,0.48656873940562717,2,0,0.04213914386312577
285,1,8496311.282200193,216577663.50942525,4522045.429167302,12,0.4849945606893051,2,0,0.04175911177442827
286,1,8545646.476687703,213181608.40576604,4381341.062277042,12,0.4804019680967123,2,0,0.04110430627709381
287,1,8563408.095788168,213041164.47138324,4375570.113358886,12,0.4758093755041199,2,0,0.04107722678118045
288,1,8585036.26162841,212275670.65477076,4344182.242776731,12,0.4712167829115273,2,0,0.04092962918809272
289,1,8628693.617952999,209038708.8471573,4212704.739026757,12,0.44086036748226703,2,0,0.040305499036611035
290,1,8649388.830307838,208476224.38578787,4190064.024134462,12,0.4363081286762971,2,0,0.04019704440138647
291,1,8666170.284288494,207608939.96772495,4155274.2693453203,12,0.43175588987032676,2,0,0.04002982019937391
292,1,8685240.756665284,207185320.74058118,4138334.1683603153,12,0.4272036510643566,2,0,0.03994814066525461
293,1,8721827.242814565,204864012.37831506,4046121.7006792687,12,0.4226514122583865,2,0,0.03950056092045527
294,1,8737381.424069861,204676422.65326104,4038715.193862263,12,0.4180991734524164,2,0,0.039464391076486464
295,1,8753680.784920048,203909114.13743111,4008490.5912023783,12,0.4135469346464463,2,0,0.03931644358477009
296,1,8773839.218008662,202835705.12497917,3966399.046882698,12,0.4089946958404761,2,0,0.039109475764523435
297,1,8708750.738469018,200792260.84521464,3886883.574732302,12,0.40813648688525206,2,0,0.03871547198453626
298,1,8647947.294966461,201713941.2046252,3922648.761915816,12,0.46490088620821,2,0,0.03889318446201548
299,1,8422009.974533372,200563322.35522816,3878025.1659896076,12,0.4645221214951294,2,0,0.038671329537721115
300,1,8185503.57822978,199167726.170283,3824243.3764236686,12,0.4604850844580923,2,0,0.038402239659592684
301,1,8191980.325734664,200548933.62602296,3877468.7546605146,12,0.4558601742337043,2,0,0.03866855519552241
302,1,7853693.656283572,199717388.70411482,3845380.776055293,12,0.4549342483077784,2,0,0.03850822205323643
303,1,7885345.7475061705,198040393.4996793,3781073.79838269,12,0.4334971070339596,2,0,0.038184874626486884
304,1,7891294.547877615,199029386.76800182,3818932.6785556986,12,0.42894155147840424,2,0,0.03837556594602012
305,1,7911019.019723946,200341157.31712297,3869438.5069682114,12,0.47784361203189135,2,0,0.038628493104322245
306,1,7645656.9621332465,200965283.82598075,3893585.1272220677,12,0.47688064906892885,2,0,0.03874883316258333
307,1,7398977.907399882,203817222.24360496,4004878.542813326,12,0.5343820745046919,2,0,0.039298725580968266
308,1,7410905.907089536,205440028.49161494,4068906.6475003697,12,0.5296413337639508,2,0,0.039611624641752254
309,1,7427960.64083595,206801801.1675923,4123027.4547205637,12,0.5249005930232103,2,0,0.039874192888477406
310,1,7436711.976769904,208688094.69550088,4198584.911988142,12,0.49812825472687633,2,0,0.04023789587148557
311,1,7453538.3664962305,208994664.9641921,4210929.715360347,12,0.4934615880602099,2,0,0.04029700677844406
312,1,7489455.502785048,206732727.89477164,4120273.673684719,12,0.46739586571208847,2,0,0.03986087462437942
313,1,7374194.606646413,208357294.28814274,4185284.749331793,12,0.46456441237184093,2,0,0.04017411306506845
314,1,7179751.743083305,207969092.64670438,4169703.621248449,12,0.46371256051998905,2,0,0.04009926252197384
315,1,7207987.148795177,206807175.4861365,4123241.7541193855,12,0.45919243841497004,2,0,0.03987522913000464
316,1,7221879.414869053,206721788.06178075,4119837.613911417,12,0.45471095693348873,2,0,0.039858765276161064
