collateral_pool,substep,funding_pool,timestep,token_price,subset,run,token_supply,sentiment,simulation
13166738.97176379,2,20799539.22496512,125,0.047331654671786336,0,1,556360814.4725301,0.7516923080146647,7
13260831.11127169,2,20214084.2595094,126,0.04750047432036939,0,1,558345208.1692209,0.7470076233299804,7
13423241.163705196,2,20220358.175258152,127,0.04779046660268114,0,1,561753927.8410028,0.7420526683750256,7
13570847.996912241,2,20240494.797794566,128,0.0480525088549743,0,1,564834108.3654954,0.73709771342007,7
13576349.341384465,2,20279746.061002433,129,0.04806224762069432,0,1,564948582.8681409,0.7321427584651153,7
13659051.652394632,2,20299000.66776412,130,0.04820841445318213,0,1,566666703.6170499,0.7107182369939166,7
13649691.34549119,2,20337413.825981386,131,0.048191893434730466,0,1,566472506.9986258,0.7057628798510592,7
13703582.388183478,2,20354740.387259748,132,0.048286934154767286,0,1,567589664.9085785,0.7008075227082022,7
13763237.778605262,2,20373457.18230048,133,0.04839192304205181,0,1,568823758.7353257,0.6958521655653451,7
13747758.159825051,2,20412381.821513254,134,0.048364702003016076,0,1,568503788.5260919,0.6908968084224878,7
13756896.706155187,2,20444524.100940913,135,0.04838077406507225,0,1,568692707.8782218,0.6859414512796308,7
13681757.352558754,2,20496386.82271576,136,0.048248466695223424,0,1,567137498.4404734,0.6827046176314011,7
13542606.90927868,2,20575602.20897225,137,0.048002483909546895,0,1,564246089.2147826,0.6777496626764463,7
13464583.81542158,2,20620743.951063164,138,0.047864005683534536,0,1,562618344.3335779,0.6727947077214913,7
13425040.28562524,2,20658924.697926674,139,0.0477936691822283,0,1,561791572.6218082,0.6678397527665361,7
13496419.269008715,2,20688177.02219268,140,0.04792055673329605,0,1,563283074.6989701,0.6980851896669855,7
13510441.509073392,2,20206379.87138516,141,0.04794544404209056,0,1,563575613.0327122,0.6969928558045644,7
13530316.80552781,2,19786390.286212012,142,0.047980697505331196,0,1,563990000.5215406,0.6929838467955551,7
13450010.195989382,2,19828789.73596402,143,0.0478380954635509,0,1,562313782.171253,0.6879838467955556,7
13483523.964881198,2,19448737.247925658,144,0.04789765814745214,0,1,563013912.8461101,0.6842000630117716,7
13667646.635797387,2,19455427.134302266,145,0.048223579684650394,0,1,566844963.6121812,0.7392975058187905,7
13862661.468021456,2,18521182.49892841,146,0.048566396730680673,0,1,570874612.9508121,0.7357031341506742,7
13927674.615763415,2,18558057.509811454,147,0.04868014693042055,0,1,572211691.78764,0.7307031341506737,7
13986922.602945758,2,17954372.138153065,148,0.04878357912487868,0,1,573427487.4396291,0.72673917018671,7
14031495.789507816,2,17991240.41453246,149,0.048861248460270026,0,1,574340453.0859289,0.7217391701867101,7
14294011.188171264,2,17613852.385622725,150,0.04931620318233896,0,1,579688226.8215739,0.7717876686872314,7
14417272.192574406,2,17343192.536014646,151,0.0495283800220773,0,1,582182263.4274693,0.7668777587773208,7
14590772.625267616,2,17361207.8994872,152,0.049825506155861864,0,1,585674838.0889672,0.7629893891628822,7
14749086.235069713,2,17378666.603222474,153,0.050095086608738175,0,1,588843626.5323076,0.7580340320200252,7
14865019.051783796,2,17408157.414246865,154,0.05029158341142134,0,1,591153351.851233,0.7530803912553593,7
15011930.317471238,2,17426803.867401145,155,0.05053948874122345,0,1,594067359.6575774,0.748169676969645,7
15053795.586031595,2,17452695.345833622,156,0.050609911934900866,0,1,594895150.3964353,0.7188297177813975,7
15152532.486394443,2,17478334.72993221,157,0.05077561428900645,0,1,596842901.7972573,0.7139636463528262,7
15253120.702582091,2,17498841.174141675,158,0.050943869339161264,0,1,598820658.9112306,0.7090975749242546,7
15328636.998960378,2,17524735.587786492,159,0.05106982200625369,0,1,600301171.8773302,0.7042315034956835,7
15332097.942270298,2,16885574.42222869,160,0.05107558702577837,0,1,600368936.9064728,0.6820141847627103,7
15280329.664021138,2,16923700.409967396,161,0.050989286673733994,0,1,599354517.8145221,0.6569800572671164,7
15342306.677428858,2,16962816.284018576,162,0.05109258829907671,0,1,600568778.6894175,0.7124843217212448,7
15407489.077505937,2,16985223.56086386,163,0.051201007711743456,0,1,601843196.6905245,0.7117077901599808,7
15506466.799188443,2,16999422.614649422,164,0.05136520209413242,0,1,603773222.6097788,0.7067524330171236,7
15529537.911665037,2,17025770.39288161,165,0.05140339944451301,0,1,604222214.0747043,0.7017970758742668,7
15643024.74054688,2,17042884.93003486,166,0.051590880549128026,0,1,606425964.2031357,0.6968417187314093,7
15702264.965998705,2,17054405.017742984,167,0.05168847572005395,0,1,607573148.4535376,0.691886361588552,7
