collateral_pool,substep,token_supply,simulation,run,sentiment,funding_pool,timestep,token_price,subset
5185924.504673393,2,201590419.69261208,0,1,0.5483101466366516,13253141.736857578,170,0.05145010871628686,0
5195493.022816557,2,201776310.6216134,0,1,0.5435505312520366,13278162.180822974,171,0.05149755198527293,0
5191974.453494708,2,201707974.06749585,0,1,0.5387909158674207,13298434.815916775,172,0.05148011106152264,0
5159815.330094257,2,201082313.47709322,0,1,0.5388389927904979,12889625.986909317,173,0.05132042933932179,0
5128532.620570956,2,200471830.1066864,0,1,0.5323252660352222,12912362.652147839,174,0.05116462116240143,0
5058385.064344809,2,199096092.78967425,0,1,0.5120260972009905,12944887.735519523,175,0.050813504107170046,0
4987435.926961334,2,197694896.73441538,0,1,0.5121222510471445,12695032.753686186,176,0.05045588944727783,0
4949770.93476704,2,196946988.53839755,0,1,0.507410712585606,12718124.232406225,177,0.05026500756879574,0
4874288.211223204,2,195439524.0900438,0,1,0.5026991741240674,12746628.602626989,178,0.04988027098323776,0
4848320.61277214,2,194918230.28512496,0,1,0.47934205558826676,12765284.531693859,179,0.04974722585650456,0
4843634.794776906,2,194824014.9665319,0,1,0.47475510010549626,12779001.791724931,180,0.049723180128578875,0
4819302.237186377,2,194334038.3825643,0,1,0.47383013893824266,12575249.816217048,181,0.04959812781432701,0
4820134.57258525,2,194350819.2471002,0,1,0.4726133250869098,12584638.952117667,182,0.04960241064337236,0
4820742.516848569,2,194363075.20577738,0,1,0.4680418965154811,12596773.562895164,183,0.04960553862141479,0
4851817.379830418,2,194988508.3102755,0,1,0.5309075884646623,12605520.519687226,184,0.04976516228443539,0
4898568.973209625,2,195925700.25876024,0,1,0.5262885408456148,12612559.875136225,185,0.05000435335170481,0
4913818.862435192,2,196230434.50518602,0,1,0.5216846932599079,12622865.607783748,186,0.0500821279311322,0
4879226.685459005,2,195538505.58904895,0,1,0.5171132646884793,12650907.110758271,187,0.0499055331404994,0
4877246.873184493,2,195498830.3661914,0,1,0.5125418361170504,12666345.702808488,188,0.049895407190404764,0
4865931.821328795,2,195271923.2668493,0,1,0.5079704075456221,12682525.897556819,189,0.049837495733365045,0
4846919.090418938,2,194890055.3742721,0,1,0.5033989789741935,12702730.054528277,190,0.049740035027552164,0
4890996.7953105215,2,195774211.32006216,0,1,0.5031170742213676,12231487.917779446,191,0.0499656901931221,0
4939359.498814735,2,196739748.60904154,0,1,0.4985456456499388,12239336.303618686,192,0.05021211558656772,0
4921859.176615253,2,196390911.46926928,0,1,0.4939742170785105,12262109.2100413,193,0.05012308502255119,0
4910317.757320613,2,196160514.7729884,0,1,0.48940278850708185,12282319.23611632,194,0.050064282947087486,0
4933992.365852254,2,196632830.3547343,0,1,0.48483135993565313,12292758.178906856,195,0.05018482780267278,0
4928094.6842819955,2,196515276.0005318,0,1,0.48029201450320647,12307785.52309387,196,0.05015482546271527,0
4921033.9270899305,2,196374446.31912324,0,1,0.47576820497939687,12321094.693649124,197,0.05011888277044846,0
4898870.817342202,2,195931736.52285862,0,1,0.47589606919925337,12334135.888780642,198,0.05000589393307061,0
4883465.390001054,2,195623421.7117356,0,1,0.4713677673124608,12351734.719992537,199,0.049927205518336876,0
4853575.287526291,2,195023829.17356613,0,1,0.4466037854655609,12370844.637924604,200,0.04977417691052241,0
4864981.99556888,2,195252863.87990066,0,1,0.44532067971517714,11804949.103624549,201,0.04983263137754859,0
4860605.582550135,2,195165021.88625303,0,1,0.4408683833927501,11817088.951635245,202,0.04981021225599551,0
4843406.650241747,2,194819426.61918274,0,1,0.41907328395541393,11278784.040637959,203,0.04972200908597525,0
